Name,Capital,Population,Area (km²)
Andorra,Andorra la Vella,0.002515069307225956,0.0005131297626226632
United Arab Emirates,Abu Dhabi,0.14897572904224185,0.09087221095334685
Afghanistan,Kabul,0.8719291976851063,0.7099391480730223
Antigua and Barbuda,St. John's,0.0025975276509414354,0.0004857189847047859
Anguilla,The Valley,0.0003968420071187241,0.00011183597390493942
Albania,Tirana,0.08943322973044267,0.031520201743325475
Armenia,Yerevan,0.08886578218865045,0.03267364727810975
American Samoa,Pago Pago,0.001733032459185066,0.00021818979222630337
Austria,Vienna,0.24566837697367822,0.09194452058549421
Aruba,Oranjestad,0.0021427791671539617,0.00021161120552601283
Åland,Mariehamn,0.0007997620983965775,0.001732361164409846
Azerbaijan,Baku,0.2486179544450287,0.094950934707527
Bosnia and Herzegovina,Sarajevo,0.1374305728591326,0.056059426566525954
Barbados,Bridgetown,0.008552822533535905,0.0004725618113042048
Belgium,Brussels,0.31147935717942404,0.03345211337097747
Burkina Faso,Ouagadougou,0.48630095642696325,0.30064141220327834
Bulgaria,Sofia,0.2140439254459203,0.12160517515487089
Bahrain,Manama,0.02209680010726172,0.0007291266926155364
Burundi,Bujumbura,0.2953145576223637,0.03051367797818102
Benin,Porto-Novo,0.27114872377299204,0.1234800723644537
Saint Barthélemy,Gustavia,0.00025300399578642057,2.302505345101694e-05
Bermuda,Hamilton,0.0019571131579383884,5.811084918589989e-05
Brunei,Bandar Seri Begawan,0.01182762241935176,0.0063264075434460824
Bonaire,Kralendijk,0.0005393027185923086,0.0003596294062825503
Bahamas,Nassau,0.009035985312234776,0.015284249767008387
Bhutan,Thimphu,0.02095432987445433,0.05153226248560934
Bouvet Island,Unknown,0.0,5.3725124719039524e-05
Botswana,Gaborone,0.06076009226950932,0.65826434954224
Belarus,Minsk,0.2899815028628974,0.22761909983005316
Belize,Belmopan,0.009417197960087168,0.02518063702647881
Cocos [Keeling] Islands,West Island,1.8803137201641673e-05,1.5350035634011293e-05
Central African Republic,Bangui,0.14506341896964678,0.6830590428156351
Republic of the Congo,Brazzaville,0.09099538718324275,0.3749794419165616
Switzerland,Bern,0.22698500497714252,0.04527164080916616
Ivory Coast,Yamoussoukro,0.6305278154389446,0.35355517789594865
Cook Islands,Avarua,0.0006403845517017708,0.00026314346801162216
Chile,Santiago,0.501411732355187,0.8299435337974891
Cameroon,Yaoundé,0.5776919280826711,0.5212872101310235
Costa Rica,San José,0.13522150365095245,0.056027630064141215
Cuba,Havana,0.34201948448145353,0.12155035359903514
Cape Verde,Praia,0.015229912366002947,0.004421906693711967
Curacao,Willemstad,0.004244658516764224,0.00048681541582150096
Christmas Island,Flying Fish Cove,4.491195191474921e-05,0.00014801820075653746
Cyprus,Nicosia,0.03301558426766661,0.010141987829614604
Czech Republic,Prague,0.31366507217260853,0.08647113645085247
Djibouti,Djibouti,0.022172371951683603,0.025217915684447124
Denmark,Copenhagen,0.16419809620032313,0.04724960254372019
Dominica,Roseau,0.0021801159698457565,0.0008267090620031796
Dominican Republic,Santo Domingo,0.29413798424740234,0.05342908831752645
